16	5000	ok	|	1.00	1.00	0.99	1.96	0.98	0	|	shot	1.00	1.96	0	|	6.0	1.96(6)	1.96(6)	|	5773	5773	5773	5773	5773	
17	0	ok	|	0.09	1.00	1.00	0.10	0.00	0	|	rapi	0.07	0.07	0	|	81.0	0.10(81)	0.07(81)	|	2677	2677	2677	2677	2677	
17	910	fail-0	|	0.00	1.00	1.00	0.00	NaN	0	|	rapi	0.00	0.00	0	|	NaN			|	2677	2677	2677	2677	2677	
18	0	ok	|	0.09	1.00	1.00	0.10	0.00	0	|	rapi	0.09	0.10	0	|	93.0	0.10(93)	0.10(93)	|	3508	3508	3508	3508	3508	
18	2646	fail-0	|	0.00	1.00	1.00	0.00	NaN	0	|	rapi	0.00	0.00	0	|	NaN			|	3508	3508	3508	3508	3508	
19	0	ok	|	0.10	1.00	1.00	0.10	0.00	0	|	rapi	0.04	0.04	0	|	70.0	0.10(70)	0.04(70)	|	1352	1352	1352	1352	1352	
19	5000	ok	|	1.00	1.00	0.98	5.79	0.58	2	|	inac	1.00	5.79	2	|	70.0	5.79(70)	5.79(70)	|	1352	1352	1352	1352	1352	
20	0	ok	|	0.10	1.00	1.00	0.10	0.00	0	|	rapi	0.01	0.01	0	|	-67.0	0.10(-67)	0.01(-67)	|	4143	4143	4143	4143	4143	
20	5000	ok	|	0.94	1.00	0.89	1.51	0.76	0	|	shot	0.94	1.51	0	|	-67.0	1.51(-67)	1.51(-67)	|	4143	4143	4143	4143	4143	
21	0	ok	|	0.10	1.00	1.00	0.10	0.00	0	|	rapi	0.09	0.10	0	|	15.0	0.10(15)	0.10(15)	|	9301	9301	9301	9301	9301	
21	557	fail-0	|	0.00	1.00	1.00	0.00	NaN	0	|	rapi	0.00	0.00	0	|	NaN			|	9301	9301	9301	9301	9301	
22	0	ok	|	0.09	1.00	1.00	0.10	0.00	0	|	rapi	0.05	0.06	0	|	38.0	0.10(38)	0.06(38)	|	4217	4217	4217	4217	4217	
22	5000	ok	|	1.00	1.00	0.99	7.76	0.78	2	|	inac	1.00	7.76	2	|	38.0	7.76(38)	7.76(38)	|	4217	4217	4217	4217	4217	
23	0	ok	|	0.10	1.00	1.00	0.10	0.00	0	|	rapi	0.09	0.09	0	|	1.0	0.10(1)	0.09(1)	|	9086	9086	9086	9086	9086	
23	270	fail-0	|	0.00	1.00	1.00	0.00	NaN	0	|	rapi	0.00	0.00	0	|	NaN			|	9086	9086	9086	9086	9086	
24	0	ok	|	0.09	1.00	1.00	0.10	0.00	0	|	rapi	0.01	0.01	0	|	-90.0	0.10(-90)	0.01(-90)	|	6415	6415	6415	6415	6415	
24	5000	ok	|	1.00	1.00	0.83	7.83	0.78	3	|	inac	1.00	7.83	3	|	-90.0	7.83(-90)	7.83(-90)	|	6415	6415	6415	6415	6415	
25	0	ok	|	0.10	1.00	1.00	0.10	0.00	0	|	rapi	0.02	0.02	0	|	-76.0	0.10(-76)	0.02(-76)	|	4418	4418	4418	4418	4418	
25	5000	ok	|	1.00	1.00	0.88	5.38	0.67	2	|	inac	1.00	5.38	2	|	-76.0	5.38(-76)	5.38(-76)	|	4418	4418	4418	4418	4418	
